id,name,res_id,lang,type,src,value,module,state,comments,lp_key,lp_isusedbyexternalapps
2233964,other,,ar_001,,Sign In,تسجيل الدخول,,translated,,ar_001_landing_sign_in_button,t
2233965,other,,ar_001,,Channel Member Hiring,تسجيل وكيل جديد,,translated,,ar_001_landing_channel_member_hiring_button,t
2233966,other,,ar_001,,User Name,اسم المستخدم,,translated,,ar_001_login_user_name_text_field,t
2233967,other,,ar_001,,Forgot Password ?,هل نسيت كلمة المرور ؟,,translated,,ar_001_login_forget_password_button,t
2233968,other,,ar_001,,Sign In,تسجيل الدخول,,translated,,ar_001_login_sign_in_button,t
2233969,other,,ar_001,,Channel Member Hiring,تسجيل وكيل جديد,,translated,,ar_001_channel_member_hiring_title,t
2233970,other,,ar_001,,Forgot Password ?,هل نسيت كلمة المرور ؟,,translated,,ar_001_forget_password_title,t
2233971,other,,ar_001,,Enter your User Name,أدخل اسم المستخدم الخاص بك,,translated,,ar_001_forget_password_user_name_label,t
2233972,other,,ar_001,,User Name,اسم المستخدم,,translated,,ar_001_forget_password_user_name_text_field,t
2233973,other,,ar_001,,Submit,استمرار,,translated,,ar_001_forget_password_submit_button,t
2233974,other,,ar_001,,Enter verification code,أدخل رمز التحقق,,translated,,ar_001_otp_title,t
2233975,other,,ar_001,,We sent you a verification code via SMS,لقد أرسلنا لك رمز التحقق عبر الرسائل القصيرة,,translated,,ar_001_otp_message_label,t
2233976,other,,ar_001,,We sent you a verification code via SMS,ألم تستلمها؟,,translated,,ar_001_otp_didnt_recieve_it_label,t
2233977,other,,ar_001,,Click here,انقر هنا,,translated,,ar_001_otp_click_here_button,t
2233978,other,,ar_001,,Create a new password,أنشئ كلمة مرور جديدة,,translated,,ar_001_create_new_password_title,t
2233979,other,,ar_001,,Password,كلمة المرور,,translated,,ar_001_create_new_password_password_text_field,t
2233980,other,,ar_001,,Confirm password,تأكيد كلمة المرور,,translated,,ar_001_create_new_password_confirm_password_text_field,t
2233981,other,,ar_001,,Reset Password,إعادة تعيين كلمة المرور,,translated,,ar_001_create_new_password_reset_password_button,t
2233982,other,,ar_001,,Your Password Has Been Reset Successfully,تم إعادة تعيين كلمة المرور الخاصة بك بنجاح,,translated,,ar_001_create_new_password_reset_successfully,t
2233983,other,,ar_001,,Ordering,طلب جديد,,translated,,ar_001_home_ordering_label,t
2233984,other,,ar_001,,Bill Payment,دفع الفواتير,,translated,,ar_001_home_bill_payment_label,t
2233985,other,,ar_001,,Commission Reports,تقارير العمولة,,translated,,ar_001_home_commission_report_label,t
2233986,other,,ar_001,,Manage Subscription,إدارة الاشتراك,,translated,,ar_001_home_manage_subscription_label,t
2233987,other,,ar_001,,Achievement To Next Badge,الإنجاز إلى الوسام التالي,,translated,,ar_001_home_achievement_to_next_badge_label,t
2233988,other,,ar_001,,Achieved Orders,الطلبات المحققة,,translated,,ar_001_home_achieved_orders_label,t
2233989,other,,ar_001,,Achieved Commission,العمولة المحققة,,translated,,ar_001_home_achieved_commission_label,t
2233990,other,,ar_001,,Submit,ارسال,,translated,,ar_001_registration_submit_button,t
2233991,other,,ar_001,,"Your password has been reset
 successfully","تم إعادة تعيين كلمة المرور الخاصة بك
 بنجاح",,translated,,ar_001_alert_reset_successfully_title_label,t
2233992,other,,ar_001,,Addons Added,تمت اضافة الخدمة الاضافية,,translated,,ar_001_alert_addons_added_title_label,t
2233993,other,,ar_001,,Addons Added Successfully,تمت اضافة الخدمة الاضافية بنجاح,,translated,,ar_001_alert_addons_added_successfully_title_label,t
2233994,other,,ar_001,,Done,تمت العملية بنجاح,,translated,,ar_001_alert_done_button,t
2233995,other,,ar_001,,Are You Sure ِAdd Addons,هل أنت متأكد من إضافة الخدمة الاضافية,,translated,,ar_001_alert_are_you_sure_body_label,t
2233996,other,,ar_001,,Yes,نعم,,translated,,ar_001_alert_yes_button,t
2233997,other,,ar_001,,Thank You,شكرا لك,,translated,,ar_001_alert_thank_you_title_label,t
2233998,other,,ar_001,,"You Have Successfully Complete
 Your Payment",لقد أكملت عملية الدفع بنجاح,,translated,,ar_001_alert_successfully_payment_body_label,t
2234048,other,,ar_001,,Last Name *,* الاسم الاخير,,translated,,ar_001_customer_details_last_name_text_field,t
2234049,other,,ar_001,,Gender *,* الجنس,,translated,,ar_001_customer_details_gender_picker,t
2234050,other,,ar_001,,Nationality *,* الجنسية,,translated,,ar_001_customer_details_text_field,t
2234051,other,,ar_001,,Date Of Birth *,* تاريخ الميلاد,,translated,,ar_001_customer_details_date_of_birth_picker,t
2234052,other,,ar_001,,Email Address *,* البريد الالكتروني,,translated,,ar_001_customer_details_email_address_text_field,t
2234053,other,,ar_001,,Mobile Number *,رقم الجوال,,translated,,ar_001_customer_details_mobile_number_text_field,t
2234054,other,,ar_001,,Verify Number,تأكيد رقم الجوال,,translated,,ar_001_customer_details_verify_number_button,t
2234055,other,,ar_001,,Alternative Mobile Number *,* رقم الهاتف المحمول البديل,,translated,,ar_001_customer_details_alternative_mobile_number_text_field,t
2234056,other,,ar_001,,Upload ID Document *,* تحميل وثيقة الهوية,,translated,,ar_001_customer_details_upload_id_document_label,t
2234057,other,,ar_001,,Front Side,الجانب الامامي,,translated,,ar_001_customer_details_front_side_label,t
2234058,other,,ar_001,,Back Side,الجانب الخلفي,,translated,,ar_001_customer_details_back_side_label,t
2234059,other,,ar_001,,Privacy Policy,سياسة الخصوصية,,translated,,ar_001_customer_details_privacy_policy_label,t
2234060,other,,ar_001,,Next,التالي,,translated,,ar_001_customer_details_next_button,t
2234061,other,,ar_001,,Select Plan,اختيار الباقة,,translated,,ar_001_select_plan_title_label,t
